id,text,label
1,Very low quality. Looks and feels cheap.,0
2,Perfect for my needs. Couldn't ask for more.,1
3,Not worth the price. Expected much better quality. Regret buying.,0
4,Amazing!,1
5,Poor build quality. Not what I expected for the price.,0
6,Waste of money.,0
7,Superb! This product has made my life so much easier. Great purchase!,1
8,Very disappointed with this purchase. Not as described.,0
9,Amazing!,1
10,Waste of money.,0
11,"This is hands down the best product in its category. I've tried several similar products before, but this one stands out. The attention to detail is impressive and the customer service was excellent. Highly recommended!",1
12,Not worth the price. Expected much better quality. Not recommended.,0
13,Extremely dissatisfied with this purchase. The quality is subpar and it feels like a cheap knockoff. It didn't meet any of my expectations. The description was misleading and the photos don't represent the actual product. Would not recommend!,0
14,Great value for money. Works perfectly as described. Will buy again.,1
15,Outstanding quality! This is exactly what I was looking for.,1
16,Excellent product with great features. Very satisfied customer.,1
17,Amazing!,1
18,"This is hands down the best product in its category. I've tried several similar products before, but this one stands out. The attention to detail is impressive and the customer service was excellent. Highly recommended! Perfect!",1
19,Disappointed.,0
20,Terrible!,0
21,Great product!,1
22,Disappointed. Very disappointed.,0
23,Don't buy!,0
24,Waste of money.,0
25,Very disappointed with this purchase. Not as described. Regret buying.,0
26,Love it! Great purchase!,1
27,"I ordered this product with high hopes based on the reviews, but I was severely disappointed. The quality is much worse than advertised. It broke within the first week of normal use. Customer service was unhelpful when I tried to return it. Save your money and look elsewhere!",0
28,Love it! Great purchase!,1
29,Great value for money. Works perfectly as described.,1
30,"After using this product for a few weeks, I can confidently say it's worth the investment. The build quality is solid, it's easy to use, and it does exactly what it promises. Very happy customer here! Very happy!",1
31,Great value for money. Works perfectly as described.,1
32,I bought this product last month and I'm extremely satisfied. The quality is top-notch and it works exactly as advertised. Shipping was fast and the packaging was secure. Would definitely buy from this seller again! Excellent!,1
33,Great product!,1
34,I bought this product last month and I'm extremely satisfied. The quality is top-notch and it works exactly as advertised. Shipping was fast and the packaging was secure. Would definitely buy from this seller again!,1
35,Extremely dissatisfied with this purchase. The quality is subpar and it feels like a cheap knockoff. It didn't meet any of my expectations. The description was misleading and the photos don't represent the actual product. Would not recommend!,0
36,Perfect for my needs. Couldn't ask for more. Very happy!,1
37,Waste of money. Regret buying.,0
38,Waste of money.,0
39,Very unsatisfied. Would not recommend to anyone. Not recommended.,0
40,"Absolutely love this product! The quality is amazing and it arrived much faster than expected. The seller was very responsive to my questions. Overall, a fantastic buying experience! Highly recommended!",1
41,Amazing!,1
42,Waste of money. Regret buying.,0
43,Great value for money. Works perfectly as described. Will buy again.,1
44,Best purchase I've made this year. Worth every penny.,1
45,Awful experience. Product arrived damaged and defective.,0
46,Fantastic quality and fast delivery. Highly recommend!,1
47,Perfect!,1
48,Love it!,1
49,Fantastic quality and fast delivery. Highly recommend!,1
50,Very disappointed with this purchase. Not as described.,0
51,Very unsatisfied. Would not recommend to anyone.,0
52,Superb! This product has made my life so much easier. Excellent!,1
53,Don't waste your money. Complete disappointment. Not recommended.,0
54,"This is hands down the best product in its category. I've tried several similar products before, but this one stands out. The attention to detail is impressive and the customer service was excellent. Highly recommended!",1
55,Best purchase I've made this year. Worth every penny.,1
56,Awful experience. Product arrived damaged and defective.,0
57,This is by far the worst purchase I've made online. The product looks nothing like the pictures. The materials are cheap and flimsy. It stopped working after just two days. The seller refused to provide a refund. Absolutely terrible experience!,0
58,Poor build quality. Not what I expected for the price.,0
59,Not worth the price. Expected much better quality. Don't buy.,0
60,I bought this product last month and I'm extremely satisfied. The quality is top-notch and it works exactly as advertised. Shipping was fast and the packaging was secure. Would definitely buy from this seller again! Excellent!,1
61,"I ordered this product with high hopes based on the reviews, but I was severely disappointed. The quality is much worse than advertised. It broke within the first week of normal use. Customer service was unhelpful when I tried to return it. Save your money and look elsewhere! Terrible experience.",0
62,Perfect!,1
63,Horrible quality. Returned it immediately.,0
64,Waste of money. Don't buy.,0
65,Waste of money.,0
